"","cells","carrier","time","rep","combination","rel_area"
"1","TSCctrl","DMSO","0","1","ac12_ac*",0.00732487417694038
"2","TSCctrl","DMSO","0","1","ac*_ac12",0.413816570604103
"3","TSCctrl","DMSO","0","1","non_ac",0.569471315159388
"4","TSCctrl","DMSO","0","1","ac12_ac12",0.00882565141210088
"5","TSCctrl","DMSO","0","1","ac13_ac13",0.000561588630622102
"6","TSCctrl","DMSO","0","1","ac13_ac*",0
"7","TSCctrl","DMSO","0","1","ac*_ac13",0
"8","TSCctrl","DMSO","0","1","ac12_ac13",0
"9","TSCctrl","DMSO","0","1","ac13_ac12",0
"10","TSCctrl","MK","0","1","ac12_ac*",0.00764282180323776
"11","TSCctrl","MK","0","1","ac*_ac12",0.41984547491496
"12","TSCctrl","MK","0","1","non_ac",0.564047616771857
"13","TSCctrl","MK","0","1","ac12_ac12",0.00846408650139557
"14","TSCctrl","MK","0","1","ac13_ac13",0
"15","TSCctrl","MK","0","1","ac13_ac*",0
"16","TSCctrl","MK","0","1","ac*_ac13",0
"17","TSCctrl","MK","0","1","ac12_ac13",0
"18","TSCctrl","MK","0","1","ac13_ac12",0
"19","TSCctrl","DMSO","0","2","ac12_ac*",0.0068075694003068
"20","TSCctrl","DMSO","0","2","ac*_ac12",0.386680699969669
"21","TSCctrl","DMSO","0","2","non_ac",0.599125556162822
"22","TSCctrl","DMSO","0","2","ac12_ac12",0.00738617448687689
"23","TSCctrl","DMSO","0","2","ac13_ac13",0
"24","TSCctrl","DMSO","0","2","ac13_ac*",0
"25","TSCctrl","DMSO","0","2","ac*_ac13",0
"26","TSCctrl","DMSO","0","2","ac12_ac13",0
"27","TSCctrl","DMSO","0","2","ac13_ac12",0
"28","TSCctrl","MK","0","2","ac12_ac*",0.00751102787290284
"29","TSCctrl","MK","0","2","ac*_ac12",0.406841357788454
"30","TSCctrl","MK","0","2","non_ac",0.577232330314834
"31","TSCctrl","MK","0","2","ac12_ac12",0.00841528400723556
"32","TSCctrl","MK","0","2","ac13_ac13",0
"33","TSCctrl","MK","0","2","ac13_ac*",0
"34","TSCctrl","MK","0","2","ac*_ac13",0
"35","TSCctrl","MK","0","2","ac12_ac13",0
"36","TSCctrl","MK","0","2","ac13_ac12",0
"37","TSCctrl","DMSO","0.5","1","ac12_ac*",0.00661494959879365
"38","TSCctrl","DMSO","0.5","1","ac*_ac12",0.371961127596223
"39","TSCctrl","DMSO","0.5","1","non_ac",0.605252906116596
"40","TSCctrl","DMSO","0.5","1","ac12_ac12",0.00572402542017549
"41","TSCctrl","DMSO","0.5","1","ac13_ac13",0
"42","TSCctrl","DMSO","0.5","1","ac13_ac*",9.58694031876564e-05
"43","TSCctrl","DMSO","0.5","1","ac*_ac13",0.00972854959141129
"44","TSCctrl","DMSO","0.5","1","ac12_ac13",0.000405954357243877
"45","TSCctrl","DMSO","0.5","1","ac13_ac12",0.000216617920449216
"46","TSCctrl","MK","0.5","1","ac12_ac*",0.00574845276830952
"47","TSCctrl","MK","0.5","1","ac*_ac12",0.351761447766399
"48","TSCctrl","MK","0.5","1","non_ac",0.637833511243163
"49","TSCctrl","MK","0.5","1","ac12_ac12",0.00444160771609158
"50","TSCctrl","MK","0.5","1","ac13_ac13",0
"51","TSCctrl","MK","0.5","1","ac13_ac*",0
"52","TSCctrl","MK","0.5","1","ac*_ac13",0
"53","TSCctrl","MK","0.5","1","ac12_ac13",0.000147365899647789
"54","TSCctrl","MK","0.5","1","ac13_ac12",6.7614595664025e-05
"55","TSCctrl","DMSO","0.5","2","ac12_ac*",0.0061205040768429
"56","TSCctrl","DMSO","0.5","2","ac*_ac12",0.380243799579433
"57","TSCctrl","DMSO","0.5","2","non_ac",0.600940668869998
"58","TSCctrl","DMSO","0.5","2","ac12_ac12",0.00554173997671942
"59","TSCctrl","DMSO","0.5","2","ac13_ac13",0
"60","TSCctrl","DMSO","0.5","2","ac13_ac*",6.7152464886983e-05
"61","TSCctrl","DMSO","0.5","2","ac*_ac13",0.00655531406245918
"62","TSCctrl","DMSO","0.5","2","ac12_ac13",0.000337505613932431
"63","TSCctrl","DMSO","0.5","2","ac13_ac12",0.000193315359591792
"64","TSCctrl","MK","0.5","2","ac12_ac*",0.00761435939130584
"65","TSCctrl","MK","0.5","2","ac*_ac12",0.429602890859369
"66","TSCctrl","MK","0.5","2","non_ac",0.551490801978384
"67","TSCctrl","MK","0.5","2","ac12_ac12",0.0108371999384857
"68","TSCctrl","MK","0.5","2","ac13_ac13",0.000329589064375475
"69","TSCctrl","MK","0.5","2","ac13_ac*",0
"70","TSCctrl","MK","0.5","2","ac*_ac13",0
"71","TSCctrl","MK","0.5","2","ac12_ac13",8.73251255831568e-05
"72","TSCctrl","MK","0.5","2","ac13_ac12",3.78336512407725e-05
"73","TSCctrl","DMSO","2","1","ac12_ac*",0.00353709497383772
"74","TSCctrl","DMSO","2","1","ac*_ac12",0.22612034470233
"75","TSCctrl","DMSO","2","1","non_ac",0.620722921181559
"76","TSCctrl","DMSO","2","1","ac12_ac12",0.00209953699041107
"77","TSCctrl","DMSO","2","1","ac13_ac13",0.000161969956826418
"78","TSCctrl","DMSO","2","1","ac13_ac*",0.00189524984981397
"79","TSCctrl","DMSO","2","1","ac*_ac13",0.142992012837119
"80","TSCctrl","DMSO","2","1","ac12_ac13",0.00132167121674956
"81","TSCctrl","DMSO","2","1","ac13_ac12",0.00114919829848891
"82","TSCctrl","MK","2","1","ac12_ac*",0.00490782073200147
"83","TSCctrl","MK","2","1","ac*_ac12",0.293627444597775
"84","TSCctrl","MK","2","1","non_ac",0.599598143576973
